state,state_code,longitude,latitude
Acre,AC,-70.29263451902482,-8.944999860579367
Acre,AC,-68.53557035402976,-9.468447334985509
Acre,AC,-69.37809067033169,-10.10376429032408
Acre,AC,-70.51873223904394,-9.044954111484655
Acre,AC,-73.28385797600413,-7.969356125727382
Acre,AC,-72.87202807517637,-8.144159952184516
Acre,AC,-70.56305221162403,-8.842567084863967
Acre,AC,-71.77919737476032,-9.377948761480946
Acre,AC,-73.8764414885659,-7.402825790447516
Acre,AC,-72.04082963804433,-7.85921576151419
Acre,AC,-68.45125543259779,-9.911985852766206
Acre,AC,-70.11619516527469,-8.635077507199581
Acre,AC,-69.15311347488253,-9.267771965157426
Acre,AC,-68.14205185319328,-10.544542249227332
Acre,AC,-68.48181766931172,-9.91407514823865
Acre,AC,-71.4888837608548,-8.73447341408431
Acre,AC,-69.55736349059818,-10.364722460370256
Acre,AC,-70.64664383657511,-8.205166625217121
Acre,AC,-72.35512544866371,-9.038521822730186
Acre,AC,-71.98157862478001,-9.2925401798972
Alagoas,AL,-37.043456888105446,-9.94527328469551
Alagoas,AL,-36.46842105618552,-9.52622203915228
Alagoas,AL,-36.022349182705035,-9.805997458582912
Alagoas,AL,-36.61469672190597,-9.359157512077438
Alagoas,AL,-36.871528799211475,-9.553247872673959
Alagoas,AL,-37.971615170374896,-9.382769349508262
Alagoas,AL,-36.22011047707326,-9.612367355740895
Alagoas,AL,-35.36552721906005,-9.090278216792083
Alagoas,AL,-36.00846226679762,-9.159409426221732
Alagoas,AL,-36.96675262668748,-9.911868472288084
Alagoas,AL,-35.81310520446102,-9.60984280668498
Alagoas,AL,-35.74016519714722,-9.01089005945273
Alagoas,AL,-36.1419757260493,-9.1181562938503
Alagoas,AL,-37.019306498728156,-9.699791975297256
Alagoas,AL,-35.48043181323006,-9.115863953106237
Alagoas,AL,-35.698569934347944,-9.259033804516585
Alagoas,AL,-37.07037902508877,-9.284607310204807
Alagoas,AL,-36.96575057349899,-9.70987243779631
Alagoas,AL,-35.9298336887636,-8.901514469433707
Alagoas,AL,-35.97604303597597,-9.085057185721649
Amazonas,AM,-63.25397971555508,0.5840051202810539
Amazonas,AM,-63.57459046502857,-1.5628934591569852
Amazonas,AM,-68.96621713001376,0.9600347192536347
Amazonas,AM,-68.7757609120775,-7.7757992547956025
Amazonas,AM,-66.25736187575022,-1.9141623796224652
Amazonas,AM,-69.63697942228572,-4.811336277650809
Amazonas,AM,-66.73929585043106,-1.6456547225553066
Amazonas,AM,-65.44287465096566,-3.6478062616956413
Amazonas,AM,-66.55310959479786,-6.770085174812321
Amazonas,AM,-63.78257065948905,-1.7533381361370282
Amazonas,AM,-64.00661629536329,-0.21480180000973448
Amazonas,AM,-67.83271741423475,-6.515354921385919
Amazonas,AM,-62.617937680923326,-6.643582736456294
Amazonas,AM,-58.72069063954754,-1.2595303155927322
Amazonas,AM,-56.581079525388375,-2.260666930639629
Amazonas,AM,-67.03188385322524,-3.875883165019263
Amazonas,AM,-58.000084672410324,-4.9147252276196145
Amazonas,AM,-61.86898978963804,-8.457574472516795
Amazonas,AM,-68.90235184770154,-2.8466806471354307
Amazonas,AM,-58.94297726360391,-6.041529764956877
Amapá,AP,-52.3133037191333,-0.5789828628569964
Amapá,AP,-51.13897637134457,3.4954849856021895
Amapá,AP,-51.7935992559101,2.8581255063888014
Amapá,AP,-52.803977506757896,0.5046635808430464
Amapá,AP,-51.23362685256486,2.5030355498308845
Amapá,AP,-52.11607534040693,0.3736891017849544
Amapá,AP,-52.4490321083896,2.119911541554707
Amapá,AP,-51.606391598419606,2.044106845429381
Amapá,AP,-50.73323752722407,1.3089528405215043
Amapá,AP,-51.49163947579815,0.800806601433435
Amapá,AP,-51.65220958332266,1.5721989146454731
Amapá,AP,-51.48085456719057,1.1963471373789807
Amapá,AP,-51.62216319331109,1.5621425023513653
Amapá,AP,-50.78713132031609,1.8591036912263095
Amapá,AP,-50.813078902175754,1.677066914706444
Amapá,AP,-50.31066233094133,1.1253719334015682
Amapá,AP,-52.00679590286824,-0.48885958049139944
Amapá,AP,-52.070692700767765,3.151071062008543
Amapá,AP,-50.06306033541814,1.2685701881166922
Amapá,AP,-52.19399868111138,3.0621873444983088
Bahia,BA,-43.693648854225074,-13.218961052891778
Bahia,BA,-39.401440684326616,-10.539137808783126
Bahia,BA,-39.7396416942231,-10.02563244210112
Bahia,BA,-39.14067209427341,-10.44192313942113
Bahia,BA,-41.886400601793724,-10.465980607510534
Bahia,BA,-41.17182500113852,-9.146113984209629
Bahia,BA,-39.015006058564516,-15.21423046225269
Bahia,BA,-45.05721150318383,-12.120492556687289
Bahia,BA,-37.937106552834706,-11.637216296438469
Bahia,BA,-39.34585148078836,-14.625307533896072
Bahia,BA,-44.64719358407705,-12.376695754507828
Bahia,BA,-44.10690890928126,-13.671869097720094
Bahia,BA,-42.08412570044569,-15.075633852340042
Bahia,BA,-41.23541455107153,-14.750992551660438
Bahia,BA,-41.51896162572951,-14.054103720849186
Bahia,BA,-40.16776026449457,-11.6987462855692
Bahia,BA,-38.57751196698705,-12.141818545847226
Bahia,BA,-38.129468708125444,-11.353060206545141
Bahia,BA,-45.088507277229546,-12.838200313352445
Bahia,BA,-38.036987987464904,-9.976890564998364
Ceará,CE,-40.527272853614626,-3.0262620655752297
Ceará,CE,-38.32051997783773,-4.19900250800975
Ceará,CE,-40.57161414235591,-3.9560849555568884
Ceará,CE,-39.32697256847767,-4.098964549820449
Ceará,CE,-39.78451275061641,-6.102761370548965
Ceará,CE,-39.78233867013782,-6.248868966727884
Ceará,CE,-40.73487293927926,-5.61308083503147
Ceará,CE,-38.298173221756734,-5.540143230861212
Ceará,CE,-38.65554188791479,-4.790608628829874
Ceará,CE,-38.58023550085732,-3.772605359390365
Ceará,CE,-38.47540200427377,-4.3288825159583855
Ceará,CE,-40.13487738066663,-5.644831205739296
Ceará,CE,-40.15608849313234,-4.754605998193896
Ceará,CE,-39.05116920702973,-7.714674314527451
Ceará,CE,-38.6438333786747,-5.676556617647267
Ceará,CE,-38.00458406817331,-4.525973974220024
Ceará,CE,-40.12236736475949,-6.784730013076931
Ceará,CE,-39.35175359078775,-4.529514341360102
Ceará,CE,-38.70609778168845,-5.378509501982164
Ceará,CE,-39.15230560743827,-5.935365289882614
Espírito Santo,ES,-41.36086572240404,-20.533719254357436
Espírito Santo,ES,-40.37947335369226,-19.189548062918682
Espírito Santo,ES,-40.514053766492964,-18.530908173786525
Espírito Santo,ES,-40.804073889449676,-18.51036276563265
Espírito Santo,ES,-40.90678381300207,-18.840819595351228
Espírito Santo,ES,-41.39163661607711,-21.04714867409029
Espírito Santo,ES,-41.501667140099805,-21.163062940331194
Espírito Santo,ES,-40.515253767295285,-19.10367128465433
Espírito Santo,ES,-40.7990513664558,-19.25767438800718
Espírito Santo,ES,-40.627283797897555,-19.551220352478154
Espírito Santo,ES,-41.547723629175394,-20.919836673515842
Espírito Santo,ES,-41.00686401389033,-19.79854593181277
Espírito Santo,ES,-40.53692595672515,-17.904223700974693
Espírito Santo,ES,-40.68717597421571,-19.390865644680673
Espírito Santo,ES,-40.746987907549965,-18.852726495380097
Espírito Santo,ES,-40.79088193650346,-18.880557749994182
